id	compound	dbid	dblink	peaks
DBREF0001	Aspartate	HMDB00191	http://www.hmdb.ca/spectra/nmr_one_d/1164	3.9124,3.9052,3.8944,3.8871,2.8429,2.8356,2.8079,2.8006,2.6993,2.6813,2.6643,2.6463
DBREF0002	lactic acid	HMDB00190	http://www.hmdb.ca/spectra/nmr_one_d/1162	4.1377,4.1238,4.1099,4.0961,1.3386,1.3247
DBREF0003	quinic acid	HMDB03072	http://www.hmdb.ca/spectra/nmr_one_d/1925	4.1849,4.178,4.1711,4.1642,4.0749,4.0658,4.0557,4.0533,4.0468,4.0344,4.0253,3.5743,3.5677,3.5556,3.549,2.1946,2.1889,2.1858,2.1802,2.1676,2.162,2.159,2.153,2.149,2.1423,2.119,2.1125,2.0845,2.0783,2.0715,2.0485,1.9578,1.9357,1.9309
DBREF0004	succinic acid	HMDB00254	http://www.hmdb.ca/spectra/nmr_one_d/1285	2.434
DBREF0005	alanine	HMDB00161	http://www.hmdb.ca/spectra/nmr_one_d/1120	3.8036,3.7891,3.7746,3.7602,1.4892,1.4747
DBREF0006	arginine	HMDB00517	http://www.hmdb.ca/spectra/nmr_one_d/1404	3.7818,3.7695,3.7573,3.2664,3.2525,3.2387,1.9538,1.9383,1.9209,1.9133,1.9081,1.9045,1.8922,1.8758,1.7746,1.7605,1.7449,1.7339,1.7292,1.7203,1.7151,1.7066,1.7013,1.6949,1.6874,1.6811,1.6743,1.6676,1.6607,1.6536,1.6473,1.6385,1.6352,1.621,1.6065
DBREF0007	asparagine	HMDB00168	http://www.hmdb.ca/spectra/nmr_one_d/1132	4.0214,4.0129,4.0058,3.9973,2.9802,2.9717,2.9463,2.9379,2.8824,2.8668,2.8485,2.833
DBREF0008	Glycine betaine	HMDB00043	http://www.hmdb.ca/spectra/nmr_one_d/1049	3.9048,3.2698
DBREF0009	choline	HMDB00097	http://www.hmdb.ca/spectra/nmr_one_d/1082	4.084,4.0782,4.0735,4.0693,4.0642,4.0593,4.0536,3.5371,3.5269,3.5171,3.209
DBREF0010	citric acid	HMDB00094	http://www.hmdb.ca/spectra/nmr_one_d/1080	2.6953,2.6653,2.5884,2.5583,2.5358
DBREF0011	Fructose	HMDB00660	http://www.hmdb.ca/spectra/nmr_one_d/1460	4.1241,4.1199,4.1167,4.1109,4.0437,4.0417,4.0161,4.0117,4.008,4.0049,4.0017,3.915,3.9082,3.895,3.8882,3.846,3.8395,3.8378,3.8338,3.832,3.8196,3.8114,3.7952,3.7913,3.729,3.7249,3.7189,3.7057,3.699,3.6917,3.686,3.6739,3.6611,3.6181,3.5939,3.5783,3.5715,3.5548,3.5473
DBREF0012	fumaric acid	HMDB00134	http://www.hmdb.ca/spectra/nmr_one_d/1104	6.5258
DBREF0013	GABA	HMDB00112	http://www.hmdb.ca/spectra/nmr_one_d/1088	3.0285,3.0134,2.9981,2.3156,2.3009,2.2862,1.936,1.9211,1.906,1.891,1.8762
DBREF0014	Glucose	HMDB00122	http://www.hmdb.ca/spectra/nmr_one_d/1093	5.246,5.2385,4.6633,4.6475,3.9161,3.9119,3.8915,3.8873,3.8561,3.8347,3.825,3.7858,3.775,3.7611,3.7469,3.7356,3.7219,3.7182,3.7107,3.6991,3.5583,3.5507,3.5386,3.531,3.5189,3.5007,3.4933,3.489,3.4822,3.4774,3.4739,3.4695,3.4623,3.4581,3.4372,3.426,3.4182,3.4073,3.3993,3.3885,3.27,3.2539,3.2517,3.2354
DBREF0015	isoleucine	HMDB00172	http://www.hmdb.ca/spectra/nmr_one_d/1136	3.6761,3.6684,2.0267,2.0038,1.9857,1.9719,1.9638,1.9491,1.5171,1.5023,1.4884,1.4764,1.4613,1.4508,1.4361,1.3103,1.2954,1.28,1.2674,1.2633,1.2517,1.2358,1.2207,1.0228,1.0089,0.9591,0.9442,0.9295
DBREF0016	leucine	HMDB00687	http://www.hmdb.ca/spectra/nmr_one_d/1477	3.7516,3.7424,3.7346,3.7242,1.7839,1.7633,1.7527,1.7427,1.7321,1.7241,1.7163,1.7133,1.7074,1.703,1.6881,1.6704,1.663,0.9777,0.9658,0.9538
DBREF0017	malic acid	HMDB00744	http://www.hmdb.ca/spectra/nmr_one_d/1514	4.3186,4.3126,4.2981,4.2921,2.6949,2.6889,2.6641,2.6581,2.3914,2.3708,2.3606,2.3401
DBREF0018	Glutamate	HMDB03339		3.7825,3.7727,3.7684,3.7586,2.4096,2.3944,2.3779,2.3711,2.362,2.3569,2.3463,2.3416,2.3236,2.3099,2.1722,2.1624,2.1569,2.1468,2.1425,2.1326,2.1274,2.1176,2.1121,2.1017,2.0873,2.071,2.0571,2.0413,2.0272
DBREF0019	Sucrose	HMDB00258	http://www.hmdb.ca/spectra/nmr_one_d/1293	5.4193,5.4116,4.227,4.2095,4.0698,4.0527,4.0355,3.9156,3.9087,3.9023,3.8954,3.8856,3.8786,3.8637,3.8577,3.8518,3.8448,3.8369,3.8229,3.8122,3.8004,3.7869,3.7675,3.7486,3.6843,3.5789,3.5712,3.5589,3.5512,3.4938,3.4748,3.4558
DBREF0020	Phenylalanine	HMDB00159	http://www.hmdb.ca/spectra/nmr_one_d/1118	7.4441,7.4301,7.4149,7.3914,7.377,7.3717,7.3622,7.3352,7.3211,4.0072,3.9969,3.9914,3.981,3.3122,3.3018,3.2831,3.2728,3.1492,3.1332,3.1201,3.1042
